X	Y	Elev	G	FA	Boug
315265	9941394	0.00	978028.4918	-4.4835637084	-3.2844690512
316378	9941394	0.00	978028.8099	-4.1654316821	-2.9509063449
317491	9941394	0.00	978029.1027	-3.8726398934	-2.6363670548
318604	9941395	0.00	978029.3779	-3.5974315754	-2.3382748586
319718	9941395	0.00	978029.6402	-3.3351699489	-2.0571895806
320831	9941395	0.00	978029.8905	-3.0848299994	-1.7965073115
321944	9941396	0.00	978030.1262	-2.8491720592	-1.561955052
323057	9941396	0.00	978030.3408	-2.6345412893	-1.3609164956
324170	9941396	0.00	978030.5251	-2.4502748873	-1.2016358092
325283	9941396	0.00	978030.6676	-2.3077455275	-1.0923568435
326396	9941397	0.00	978030.7562	-2.2191181284	-1.0404638809
327509	9941397	0.00	978030.7794	-2.1959399133	-1.051694303
328623	9941397	0.00	978030.7277	-2.2477136127	-1.1294912114
329736	9941398	0.00	978030.5948	-2.3806149436	-1.2745537181
330849	9941398	0.00	978030.3789	-2.5965053151	-1.4846242793
331962	9941398	0.00	978030.0830	-2.8923592579	-1.7545274924
333075	9941398	0.00	978029.7152	-3.2601769503	-2.0764460377
221735	9940256	0.00	978015.8813	-17.1108488875	-16.7895689732
222849	9940256	0.00	978015.4840	-17.5081890935	-17.0966520459
223963	9940257	0.00	978015.1566	-17.8355848664	-17.3428017089
225077	9940257	0.00	978014.9202	-18.0720327766	-17.5150558134
226190	9940258	0.00	978014.7733	-18.2189132628	-17.6201487419
227304	9940258	0.00	978014.6914	-18.3007895323	-17.6847248491
228418	9940259	0.00	978014.6293	-18.3629443454	-17.7527626861
229532	9940259	0.00	978014.5264	-18.4658392296	-17.8803963663
230645	9940260	0.00	978014.3151	-18.6770762237	-18.1286508533
231759	9940260	0.00	978013.9304	-19.0617798836	-18.5548902996
232873	9940261	0.00	978013.3196	-19.6725536254	-19.2039768189
233986	9940261	0.00	978012.4519	-20.540267494	-20.1002240788
235100	9940261	0.00	978011.3253	-21.6668874895	-21.241191063
236214	9940262	0.00	978009.9708	-23.0213609477	-22.5941960669
237327	9940262	0.00	978008.4529	-24.5392473367	-24.0961543083
238441	9940263	0.00	978006.8658	-26.1263645939	-25.6569829883
239555	9940263	0.00	978005.3259	-27.6662551437	-27.1664144745
240668	9940264	0.00	978003.9614	-29.0308171436	-28.5036570569
241782	9940264	0.00	978002.8991	-30.0930496115	-29.5489900836
242896	9940264	0.00	978002.2516	-30.7405731172	-30.1961185021
244009	9940265	0.00	978002.1037	-30.8884468783	-30.3639737353
245123	9940265	0.00	978002.5024	-30.4898279985	-30.0066527571
246236	9940266	0.00	978003.4490	-29.5432099529	-29.1203385588
247350	9940266	0.00	978004.8969	-28.0953164344	-27.7463295753
248464	9940266	0.00	978006.7530	-26.2391771669	-25.9696943197
249577	9940267	0.00	978008.8848	-24.1074248422	-23.9135193602
250691	9940267	0.00	978011.1308	-21.8613697283	-21.7291849749
251804	9940268	0.00	978013.3153	-19.676872772	-19.5835321469
252918	9940268	0.00	978015.2638	-17.7283966831	-17.6441293378
254031	9940269	0.00	978016.8194	-16.1728271383	-16.0640689565
255145	9940269	0.00	978017.8575	-15.134698706	-14.9677962657
256258	9940269	0.00	978018.2979	-14.6943274913	-14.4393885604
257372	9940270	0.00	978018.1121	-14.8800594319	-14.5144680745
258485	9940270	0.00	978017.3268	-15.6654220511	-15.1765728949
259599	9940271	0.00	978016.0207	-16.971464609	-16.3583644796
260712	9940271	0.00	978014.3182	-18.674041887	-17.9475657684
261826	9940271	0.00	978012.3769	-20.615297456	-19.7970518926
262939	9940272	0.00	978010.3740	-22.6181864003	-21.7381058714
264053	9940272	0.00	978008.4896	-24.5025881728	-23.5955469066
265166	9940272	0.00	978006.8908	-26.1014261806	-25.2032695949
266280	9940273	0.00	978005.7170	-27.2752428888	-26.4187141364
267393	9940273	0.00	978005.0683	-27.9238704358	-27.1349195571
268507	9940274	0.00	978004.9980	-27.9941625244	-27.2890771488
269620	9940274	0.00	978005.5090	-27.4831753067	-26.8668690052
270733	9940274	0.00	978006.5555	-26.4366554099	-25.9023058424
271847	9940275	0.00	978008.0490	-24.9431607406	-24.473223001
272960	9940275	0.00	978009.8676	-23.1245550809	-22.6930072451
274074	9940276	0.00	978011.8683	-21.1239391698	-20.6994681915
275187	9940276	0.00	978013.8999	-19.0922793225	-18.6420046593
276301	9940276	0.00	978015.8171	-17.1750548741	-16.668328053
277414	9940277	0.00	978017.4920	-15.5001687222	-14.9119862458
278527	9940277	0.00	978018.8240	-14.1681667074	-13.4817905466
279641	9940277	0.00	978019.7467	-13.2455196523	-12.4540059654
280754	9940278	0.00	978020.2308	-12.7613729896	-11.8678515119
281867	9940278	0.00	978020.2844	-12.7078036151	-11.7245088901
282981	9940278	0.00	978019.9489	-13.0432814089	-11.9894924604
284094	9940279	0.00	978019.2934	-13.69874813	-12.5979258698
285207	9940279	0.00	978018.4067	-14.5855247503	-13.4620301241
286321	9940280	0.00	978017.3880	-15.6041542652	-14.4799738584
287434	9940280	0.00	978016.3389	-16.6532833296	-15.5451783339
288547	9940280	0.00	978015.3544	-17.6377740855	-16.5552055402
289661	9940281	0.00	978014.5168	-18.4753992054	-17.4194761758
290774	9940281	0.00	978013.8905	-19.1016837814	-18.0652458053
291887	9940281	0.00	978013.5195	-19.4726894255	-18.4414877239
293001	9940282	0.00	978013.4264	-19.5657611917	-18.5205636124
294114	9940282	0.00	978013.6137	-19.3784527955	-18.2977827601
295227	9940282	0.00	978014.0662	-18.9259921198	-17.7891361436
296340	9940283	0.00	978014.7545	-18.2377369297	-17.0276275498
297454	9940283	0.00	978015.6391	-17.353097873	-16.0587018322
298567	9940283	0.00	978016.6748	-16.3173775931	-14.9352891498
299680	9940284	0.00	978017.8143	-15.1779025222	-13.7129490995
300793	9940284	0.00	978019.0115	-13.9807229482	-12.4455207085
301907	9940284	0.00	978020.2242	-12.7680440544	-11.1815773389
303020	9940285	0.00	978021.4158	-11.5764418029	-9.961865076
304133	9940285	0.00	978022.5564	-10.435825717	-8.8177838676
305246	9940285	0.00	978023.6231	-9.3690446585	-7.7708650313
306360	9940286	0.00	978024.6002	-8.391995296	-6.8331157379
307473	9940286	0.00	978025.4781	-7.5140850187	-6.0080457016
308586	9940286	0.00	978026.2533	-6.7389164636	-5.292164487
309699	9940286	0.00	978026.9271	-6.0650915376	-4.676737018
310812	9940287	0.00	978027.5051	-5.4870697737	-4.1496048983
311926	9940287	0.00	978027.9961	-4.9960503221	-3.6969153757
313039	9940287	0.00	978028.4113	-4.5808719605	-3.3046412511
314152	9940288	0.00	978028.7633	-4.2289371278	-2.959817434
315265	9940288	0.00	978029.0650	-3.9271633073	-2.6514582965
316378	9940288	0.00	978029.3292	-3.6629503988	-2.3711513633
317492	9940289	0.00	978029.5671	-3.4251307058	-2.1133459688
318605	9940289	0.00	978029.7873	-3.2048451267	-1.875370637
319718	9940289	0.00	978029.9959	-2.9962713764	-1.6572215547
320831	9940290	0.00	978030.1951	-2.7971230779	-1.4611685945
321944	9940290	0.00	978030.3833	-2.6088457066	-1.2912268284
323057	9940290	0.00	978030.5557	-2.4364574376	-1.1525418052
324170	9940290	0.00	978030.7042	-2.2880178383	-1.050736726
325284	9940291	0.00	978030.8184	-2.1737504891	-0.9912689331
326397	9940291	0.00	978030.8873	-2.1048906046	-0.9788410762
327510	9940291	0.00	978030.8998	-2.0923684055	-1.0169079058
328623	9940292	0.00	978030.8467	-2.1454667298	-1.1073119026
329736	9940292	0.00	978030.7216	-2.27060191	-1.2500694372
330849	9940292	0.00	978030.5218	-2.4703677143	-1.4433141839
331962	9940292	0.00	978030.2492	-2.7429533507	-1.6833873044
333075	9940293	0.00	978029.9102	-3.0820015665	-1.9650465155
221736	9939150	0.00	978016.4494	-16.5599402568	-16.2889412966
222850	9939150	0.00	978016.0613	-16.9479986063	-16.5888665872
223963	9939151	0.00	978015.7066	-17.3027336388	-16.8650664214
225077	9939151	0.00	978015.4086	-17.6007763459	-17.1026634817
226191	9939152	0.00	978015.1714	-17.8379846853	-17.3031809646
227305	9939152	0.00	978014.9785	-18.0307893672	-17.4852259351
228418	9939152	0.00	978014.7948	-18.21448983	-17.682627727
229532	9939153	0.00	978014.5707	-18.4386108586	-17.9401512392
230646	9939153	0.00	978014.2495	-18.7598154033	-18.3072193094
231759	9939154	0.00	978013.7761	-19.2332045289	-18.8303525382
232873	9939154	0.00	978013.1063	-19.9030777871	-19.5452337862
233987	9939155	0.00	978012.2150	-20.7943437292	-20.4694008508
235101	9939155	0.00	978011.1036	-21.9057426856	-21.5965488304
236214	9939156	0.00	978009.8035	-23.20587152	-22.8932814733
237328	9939156	0.00	978008.3766	-24.6326996693	-24.2989008933
238441	9939156	0.00	978006.9125	-26.0968703445	-25.728493239
239555	9939157	0.00	978005.5207	-27.4886353909	-27.0791906516
240669	9939157	0.00	978004.3215	-28.6878291778	-28.2391100886
241782	9939158	0.00	978003.4334	-29.5758990546	-29.0981318218
